geneset	count	crossd
GOMF_LIGASE_ACTIVITY_FORMING_PHOSPHORIC_ESTER_BONDS	1	Antropometric
GOMF_SODIUM_ION_BINDING	1	Antropometric
GOMF_ALPHA_GLUCOSIDASE_ACTIVITY	1	Antropometric
GOMF_TRNA_SPECIFIC_ADENOSINE_DEAMINASE_ACTIVITY	1	Antropometric
GOMF_ARRESTIN_FAMILY_PROTEIN_BINDING	1	Antropometric
GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS	1	Antropometric
GOMF_VERY_LONG_CHAIN_3_KETOACYL_COA_SYNTHASE_ACTIVITY	1	Antropometric
GOMF_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	Antropometric
GOMF_ACIDIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	Antropometric
GOMF_L_ASPARTATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	Antropometric
GOMF_DOUBLE_STRANDED_RNA_ADENOSINE_DEAMINASE_ACTIVITY	1	Antropometric
GOMF_ADENOSINE_DEAMINASE_ACTIVITY	1	Antropometric
GOMF_G_PROTEIN_ALPHA_SUBUNIT_BINDING	1	Antropometric
GOMF_POLY_G_BINDING	1	Antropometric
GOMF_ACETYLCHOLINE_BINDING	1	Antropometric
GOMF_MORPHOGEN_ACTIVITY	1	Metabolic
GOMF_RECEPTOR_SERINE_THREONINE_KINASE_BINDING	1	Metabolic
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_BINDING	1	Metabolic
GOMF_DNA_SECONDARY_STRUCTURE_BINDING	1	Metabolic
GOMF_HYDROXYMETHYL_FORMYL_AND_RELATED_TRANSFERASE_ACTIVITY	1	Metabolic
GOMF_ACETYLESTERASE_ACTIVITY	1	Fertility
GOMF_SHORT_CHAIN_CARBOXYLESTERASE_ACTIVITY	1	Fertility
GOMF_RIBOSOMAL_PROTEIN_S6_KINASE_ACTIVITY	1	Antropometric
GOMF_NAADP_SENSITIVE_CALCIUM_RELEASE_CHANNEL_ACTIVITY	1	Antropometric
GOMF_CD4_RECEPTOR_BINDING	1	Disease
GOMF_DNA_ENDONUCLEASE_ACTIVITY_PRODUCING_3_PHOSPHOMONOESTERS	1	Trait
GOMF_PALMITOYL_HYDROLASE_ACTIVITY	1	Trait
GOMF_BOX_H_ACA_SNORNA_BINDING	1	Condition
GOMF_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_BINDING	1	Condition
GOMF_APOLIPOPROTEIN_RECEPTOR_BINDING	1	Metabolic
GOMF_SEMAPHORIN_RECEPTOR_BINDING	1	Condition
GOMF_HYALURONONGLUCOSAMINIDASE_ACTIVITY	1	Disease
GOMF_RIBOSE_PHOSPHATE_DIPHOSPHOKINASE_ACTIVITY	1	Disease
GOMF_DIPHOSPHOTRANSFERASE_ACTIVITY	1	Disease
GOMF_P_TYPE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	Disease
GOMF_PEPTIDE_ALPHA_N_ACETYLTRANSFERASE_ACTIVITY	1	Disease
GOMF_ICOSANOID_RECEPTOR_ACTIVITY	1	Disease
GOMF_GLUTATHIONE_DISULFIDE_OXIDOREDUCTASE_ACTIVITY	1	Disease
GOMF_APOLIPOPROTEIN_A_I_BINDING	1	Disease
GOMF_U1_SNRNP_BINDING	1	Disease
GOMF_GDP_DISSOCIATION_INHIBITOR_ACTIVITY	1	Anatomical
GOMF_METALLOCARBOXYPEPTIDASE_ACTIVITY	1	Anatomical
GOMF_ALKALINE_PHOSPHATASE_ACTIVITY	1	Anatomical
GOMF_PROTEIN_GERANYLGERANYLTRANSFERASE_ACTIVITY	1	Anatomical
GOMF_PROTEIN_PRENYLTRANSFERASE_ACTIVITY	1	Anatomical
GOMF_CYCLIC_NUCLEOTIDE_DEPENDENT_PROTEIN_KINASE_ACTIVITY	1	Anatomical
GOMF_7S_RNA_BINDING	1	Anatomical
GOMF_RECEPTOR_SIGNALING_PROTEIN_TYROSINE_KINASE_ACTIVATOR_ACTIVITY	1	Anatomical
GOMF_PHOSPHATIDYLCHOLINE_FLIPPASE_ACTIVITY	1	Anatomical
GOMF_PROTEIN_KINASE_A_CATALYTIC_SUBUNIT_BINDING	1	Anatomical
GOMF_SPHINGOLIPID_BINDING	1	Anatomical
GOMF_CERAMIDE_BINDING	1	Anatomical
GOMF_SPHINGOLIPID_TRANSFER_ACTIVITY	1	Anatomical
GOMF_PROTEIN_SERINE_THREONINE_KINASE_BINDING	1	Anatomical
GOMF_CERAMIDE_1_PHOSPHATE_BINDING	1	Anatomical
GOMF_CERAMIDE_1_PHOSPHATE_TRANSFER_ACTIVITY	1	Anatomical
GOMF_L_ASCORBIC_ACID_BINDING	1	Disease
GOMF_PEPTIDYL_PROLINE_DIOXYGENASE_ACTIVITY	1	Disease
GOMF_PEPTIDYL_PROLINE_4_DIOXYGENASE_ACTIVITY	1	Disease
GOMF_TOLL_LIKE_RECEPTOR_BINDING	1	Disease
GOMF_TOLL_LIKE_RECEPTOR_4_BINDING	1	Disease
GOMF_LEUCINE_BINDING	1	Disease
GOMF_ARYL_HYDROCARBON_RECEPTOR_BINDING	1	Disease
GOMF_TAU_PROTEIN_KINASE_ACTIVITY	1	Disease
GOMF_MDM2_MDM4_FAMILY_PROTEIN_BINDING	1	Disease
GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	Disease
GOMF_PHOSPHOTRANSFERASE_ACTIVITY_NITROGENOUS_GROUP_AS_ACCEPTOR	1	Metabolic
GOMF_TRIGLYCERIDE_BINDING	1	Metabolic
GOMF_APOLIPOPROTEIN_BINDING	1	Metabolic
GOMF_SPHINGOLIPID_TRANSPORTER_ACTIVITY	1	Metabolic
GOMF_PRE_MRNA_INTRONIC_BINDING	1	Metabolic
GOMF_STEROL_TRANSFER_ACTIVITY	1	Metabolic
GOMF_PHOSPHATIDYLGLYCEROL_BINDING	1	Metabolic
GOMF_CARDIOLIPIN_BINDING	1	Metabolic
GOMF_MICROTUBULE_MINUS_END_BINDING	1	Metabolic
GOMF_PHOSPHOTYROSINE_RESIDUE_BINDING	1	Metabolic
GOMF_RNA_BINDING	1	Metabolic
GOMF_SIRNA_BINDING	1	Metabolic
GOMF_RNA_STEM_LOOP_BINDING	1	Metabolic
GOMF_3_5_DNA_HELICASE_ACTIVITY	1	Metabolic
GOMF_NUCLEOSIDE_TRIPHOSPHATE_DIPHOSPHATASE_ACTIVITY	1	Metabolic
GOMF_REGULATORY_RNA_BINDING	1	Metabolic
GOMF_POLYSOME_BINDING	1	Metabolic
GOMF_EXONUCLEASE_ACTIVITY	1	Disease
GOMF_GAP_JUNCTION_CHANNEL_ACTIVITY	1	Disease
GOMF_GPI_ANCHOR_BINDING	1	Disease
GOMF_GAP_JUNCTION_CHANNEL_ACTIVITY_INVOLVED_IN_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING	1	Disease
GOMF_CHONDROITIN_SULFATE_BINDING	1	Disease
GOMF_IRON_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	Disease
GOMF_FERROUS_IRON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	Disease
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_PTERIDINE_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	1	Disease
GOMF_NEUROTROPHIN_BINDING	1	Disease
GOMF_MICROTUBULE_BINDING	1	Disease
GOMF_GLUTATHIONE_BINDING	1	Disease
GOMF_AP_1_ADAPTOR_COMPLEX_BINDING	1	Disease
GOMF_TELOMERASE_ACTIVITY	1	Disease
GOMF_RNA_DIRECTED_DNA_POLYMERASE_ACTIVITY	1	Disease
GOCC_ARYL_HYDROCARBON_RECEPTOR_COMPLEX	1	Developmental
