sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	pair_m_f_	pair_m_f_inv
a13m	a13	Cardiovascular disease (requested)	Cardiovascular disease	294536	240453	54083	male	requested	Cardiovascular disease	Cardiovascular disease (requested) [male]	36474045	Cardiovascular disease (requested) 36474045	a13f a13m	a13m a13f	Disease	a13m:a13f	a13f:a13m
a1f	a1	Insomnia (requested)	Insomnia	208958	141982	66976	female	requested	Insomnia	Insomnia (requested) [female]	35835914	Insomnia (requested) 35835914	a1f a1m	a1m a1f	Disease	a1m:a1f	a1f:a1m
a1m	a1	Insomnia (requested)	Insomnia	178030	135458	42572	male	requested	Insomnia	Insomnia (requested) [male]	35835914	Insomnia (requested) 35835914	a1f a1m	a1m a1f	Disease	a1m:a1f	a1f:a1m
a21f	a21	Grip strength measurement/ Muscle weakness (requested)	Grip strength measurement/ Muscle weakness	135468	100879	34589	female	requested	Grip strength measurement/ Muscle weakness	Grip strength measurement/ Muscle weakness (requested) [female]	33510174	Grip strength measurement/ Muscle weakness (requested) 33510174	a21f a21m	a21m a21f	Trait	a21m:a21f	a21f:a21m
a21m	a21	Grip strength measurement/ Muscle weakness (requested)	Grip strength measurement/ Muscle weakness	121055	107048	14007	male	requested	Grip strength measurement/ Muscle weakness	Grip strength measurement/ Muscle weakness (requested) [male]	33510174	Grip strength measurement/ Muscle weakness (requested) 33510174	a21f a21m	a21m a21f	Trait	a21m:a21f	a21f:a21m
a22f	a22	Snoring (requested)	Snoring	218346	156554	61792	female	requested	Snoring	Snoring (requested) [female]	32060260	Snoring (requested) 32060260	a22f a22m	a22m a22f	Disease	a22m:a22f	a22f:a22m
a22m	a22	Snoring (requested)	Snoring	189971	99165	90806	male	requested	Snoring	Snoring (requested) [male]	32060260	Snoring (requested) 32060260	a22f a22m	a22m a22f	Disease	a22m:a22f	a22f:a22m
a27f	a27	Fasting glucose (requested)	Fasting glucose	73089	NA	NA	female	requested	Fasting glucose	Fasting glucose (requested) [female]	33402679	Fasting glucose (requested) 33402679	a27f a27m	a27m a27f	Metabolic	a27m:a27f	a27f:a27m
a27m	a27	Fasting glucose (requested)	Fasting glucose	67506	NA	NA	male	requested	Fasting glucose	Fasting glucose (requested) [male]	33402679	Fasting glucose (requested) 33402679	a27f a27m	a27m a27f	Metabolic	a27m:a27f	a27f:a27m
a28f	a28	Fasting insulin (requested)	Fasting insulin	50404	NA	NA	female	requested	Fasting insulin	Fasting insulin (requested) [female]	33402679	Fasting insulin (requested) 33402679	a28f a28m	a28m a28f	Metabolic	a28m:a28f	a28f:a28m
a28m	a28	Fasting insulin (requested)	Fasting insulin	47806	NA	NA	male	requested	Fasting insulin	Fasting insulin (requested) [male]	33402679	Fasting insulin (requested) 33402679	a28f a28m	a28m a28f	Metabolic	a28m:a28f	a28f:a28m
a29f	a29	Multisite chronic pain (requested)	Multisite chronic pain	206093	NA	NA	female	requested	Multisite chronic pain	Multisite chronic pain (requested) [female]	33830993	Multisite chronic pain (requested) 33830993	a29f a29m	a29m a29f	Disease	a29m:a29f	a29f:a29m
a29m	a29	Multisite chronic pain (requested)	Multisite chronic pain	178556	NA	NA	male	requested	Multisite chronic pain	Multisite chronic pain (requested) [male]	33830993	Multisite chronic pain (requested) 33830993	a29f a29m	a29m a29f	Disease	a29m:a29f	a29f:a29m
a30f	a30	Educational attainment (requested)	Educational attainment	122427	NA	NA	female	requested	Educational attainment	Educational attainment (requested) [female]	27225129	Educational attainment (requested) 27225129	a30f a30m	a30m a30f	Behavioural	a30m:a30f	a30f:a30m
a30m	a30	Educational attainment (requested)	Educational attainment	95140	NA	NA	male	requested	Educational attainment	Educational attainment (requested) [male]	27225129	Educational attainment (requested) 27225129	a30f a30m	a30m a30f	Behavioural	a30m:a30f	a30f:a30m
a3f	a3	Broad antisocial behaviour (requested)	Broad antisocial behaviour	26895	NA	NA	female	requested	Broad antisocial behaviour	Broad antisocial behaviour (requested) [female]	36284158	Broad antisocial behaviour (requested) 36284158	a3f a3m	a3m a3f	Behavioural	a3m:a3f	a3f:a3m
a3m	a3	Broad antisocial behaviour (requested)	Broad antisocial behaviour	22322	NA	NA	male	requested	Broad antisocial behaviour	Broad antisocial behaviour (requested) [male]	36284158	Broad antisocial behaviour (requested) 36284158	a3f a3m	a3m a3f	Behavioural	a3m:a3f	a3f:a3m
a7f	a7	Parkinson's disease (requested)	Parkinson's disease	98609	90662	7947	female	requested	Parkinson's disease	Parkinson's disease (requested) [female]	33901317	Parkinson's disease (requested) 33901317	a7f a7m	a7m a7f	Disease	a7m:a7f	a7f:a7m
a7m	a7	Parkinson's disease (requested)	Parkinson's disease	102680	89660	13020	male	requested	Parkinson's disease	Parkinson's disease (requested) [male]	33901317	Parkinson's disease (requested) 33901317	a7f a7m	a7m a7f	Disease	a7m:a7f	a7f:a7m
a8f	a8	Type 2 diabetes (requested)	Type 2 diabetes	464389	434336	30053	female	requested	Type 2 diabetes	Type 2 diabetes (requested) [female]	30297969	Type 2 diabetes (requested) 30297969	a8f a8m	a8m a8f	Disease	a8m:a8f	a8f:a8m
a8m	a8	Type 2 diabetes (requested)	Type 2 diabetes	425613	383767	41846	male	requested	Type 2 diabetes	Type 2 diabetes (requested) [male]	30297969	Type 2 diabetes (requested) 30297969	a8f a8m	a8m a8f	Disease	a8m:a8f	a8f:a8m
a9f	a9	ADHD (requested)	ADHD	21191	16246	4945	female	requested	ADHD	ADHD (requested) [female]	29325848	ADHD (requested) 29325848	a9f a9m	a9m a9f	Disease	a9m:a9f	a9f:a9m
a9m	a9	ADHD (requested)	ADHD	32102	17948	14154	male	requested	ADHD	ADHD (requested) [male]	29325848	ADHD (requested) 29325848	a9f a9m	a9m a9f	Disease	a9m:a9f	a9f:a9m
bm1f	GCST90431455	Left PoI GM thikness (requested)	Left PoI GM thikness	16057	NA	NA	female	requested	Left PoI GM thikness	Left PoI GM thikness (requested) [female]	NA	Left PoI GM thikness (requested) NA	bm1f bm1m	bm1m bm1f	Anatomical	bm1m:bm1f	bm1f:bm1m
bm1m	GCST90431815	Left PoI GM thikness (requested)	Left PoI GM thikness	14341	NA	NA	male	requested	Left PoI GM thikness	Left PoI GM thikness (requested) [male]	NA	Left PoI GM thikness (requested) NA	bm1f bm1m	bm1m bm1f	Anatomical	bm1m:bm1f	bm1f:bm1m
bm2f	GCST90429884	Left 5m area (requested)	Left 5m area	15838	NA	NA	female	requested	Left 5m area	Left 5m area (requested) [female]	NA	Left 5m area (requested) NA	bm2f bm2m	bm2m bm2f	Anatomical	bm2m:bm2f	bm2f:bm2m
bm2m	GCST90430244	Left 5m area (requested)	Left 5m area	14183	NA	NA	male	requested	Left 5m area	Left 5m area (requested) [male]	NA	Left 5m area (requested) NA	bm2f bm2m	bm2m bm2f	Anatomical	bm2m:bm2f	bm2f:bm2m
bm3f	GCST90430588	Left LO1 GMV (requested)	Left LO1 GMV	15771	NA	NA	female	requested	Left LO1 GMV	Left LO1 GMV (requested) [female]	NA	Left LO1 GMV (requested) NA	bm3f bm3m	bm3m bm3f	Anatomical	bm3m:bm3f	bm3f:bm3m
