sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	pair_m_f_	pair_m_f_inv
em_clinical_c_K43	clinical_c_K43	K43 Ventral hernia (elena)	K43 Ventral hernia	206770	204924	1846	male	elena	K43 Ventral hernia	K43 Ventral hernia (elena) [male]	NA	K43 Ventral hernia (elena) NA	ef_clinical_c_K43 em_clinical_c_K43	em_clinical_c_K43 ef_clinical_c_K43	Disease	em_clinical_c_K43:ef_clinical_c_K43	ef_clinical_c_K43:em_clinical_c_K43
em_clinical_c_K44	clinical_c_K44	K44 Diaphragmatic hernia (elena)	K44 Diaphragmatic hernia	206770	193962	12808	male	elena	K44 Diaphragmatic hernia	K44 Diaphragmatic hernia (elena) [male]	NA	K44 Diaphragmatic hernia (elena) NA	ef_clinical_c_K44 em_clinical_c_K44	em_clinical_c_K44 ef_clinical_c_K44	Disease	em_clinical_c_K44:ef_clinical_c_K44	ef_clinical_c_K44:em_clinical_c_K44
em_clinical_c_K51	clinical_c_K51	K51 Ulcerative colitis (elena)	K51 Ulcerative colitis	206770	204922	1848	male	elena	K51 Ulcerative colitis	K51 Ulcerative colitis (elena) [male]	NA	K51 Ulcerative colitis (elena) NA	ef_clinical_c_K51 em_clinical_c_K51	em_clinical_c_K51 ef_clinical_c_K51	Disease	em_clinical_c_K51:ef_clinical_c_K51	ef_clinical_c_K51:em_clinical_c_K51
em_clinical_c_K57	clinical_c_K57	K57 Diverticular disease of intestine (elena)	K57 Diverticular disease of intestine	206770	192587	14183	male	elena	K57 Diverticular disease of intestine	K57 Diverticular disease of intestine (elena) [male]	NA	K57 Diverticular disease of intestine (elena) NA	ef_clinical_c_K57 em_clinical_c_K57	em_clinical_c_K57 ef_clinical_c_K57	Disease	em_clinical_c_K57:ef_clinical_c_K57	ef_clinical_c_K57:em_clinical_c_K57
em_clinical_c_K58	clinical_c_K58	K58 Irritable bowel syndrome (elena)	K58 Irritable bowel syndrome	206770	205276	1494	male	elena	K58 Irritable bowel syndrome	K58 Irritable bowel syndrome (elena) [male]	NA	K58 Irritable bowel syndrome (elena) NA	ef_clinical_c_K58 em_clinical_c_K58	em_clinical_c_K58 ef_clinical_c_K58	Disease	em_clinical_c_K58:ef_clinical_c_K58	ef_clinical_c_K58:em_clinical_c_K58
em_clinical_c_K63	clinical_c_K63	K63 Other diseases of intestine (elena)	K63 Other diseases of intestine	206770	198211	8559	male	elena	K63 Other diseases of intestine	K63 Other diseases of intestine (elena) [male]	NA	K63 Other diseases of intestine (elena) NA	ef_clinical_c_K63 em_clinical_c_K63	em_clinical_c_K63 ef_clinical_c_K63	Disease	em_clinical_c_K63:ef_clinical_c_K63	ef_clinical_c_K63:em_clinical_c_K63
em_clinical_c_K80	clinical_c_K80	K80 Cholelithiasis (elena)	K80 Cholelithiasis	206770	202211	4559	male	elena	K80 Cholelithiasis	K80 Cholelithiasis (elena) [male]	NA	K80 Cholelithiasis (elena) NA	ef_clinical_c_K80 em_clinical_c_K80	em_clinical_c_K80 ef_clinical_c_K80	Disease	em_clinical_c_K80:ef_clinical_c_K80	ef_clinical_c_K80:em_clinical_c_K80
em_clinical_c_L02	clinical_c_L02	L02 Cutaneous abscess, furuncle and carbuncle (elena)	L02 Cutaneous abscess, furuncle and carbuncle	206770	205376	1394	male	elena	L02 Cutaneous abscess, furuncle and carbuncle	L02 Cutaneous abscess, furuncle and carbuncle (elena) [male]	NA	L02 Cutaneous abscess, furuncle and carbuncle (elena) NA	ef_clinical_c_L02 em_clinical_c_L02	em_clinical_c_L02 ef_clinical_c_L02	Disease	em_clinical_c_L02:ef_clinical_c_L02	ef_clinical_c_L02:em_clinical_c_L02
em_clinical_c_L03	clinical_c_L03	L03 Cellulitis (elena)	L03 Cellulitis	206770	202195	4575	male	elena	L03 Cellulitis	L03 Cellulitis (elena) [male]	NA	L03 Cellulitis (elena) NA	ef_clinical_c_L03 em_clinical_c_L03	em_clinical_c_L03 ef_clinical_c_L03	Disease	em_clinical_c_L03:ef_clinical_c_L03	ef_clinical_c_L03:em_clinical_c_L03
em_clinical_c_L40	clinical_c_L40	L40 Psoriasis (elena)	L40 Psoriasis	206770	205462	1308	male	elena	L40 Psoriasis	L40 Psoriasis (elena) [male]	NA	L40 Psoriasis (elena) NA	ef_clinical_c_L40 em_clinical_c_L40	em_clinical_c_L40 ef_clinical_c_L40	Disease	em_clinical_c_L40:ef_clinical_c_L40	ef_clinical_c_L40:em_clinical_c_L40
em_clinical_c_L72	clinical_c_L72	L72 Follicular cysts of skin and subcutaneous tissue (elena)	L72 Follicular cysts of skin and subcutaneous tissue	206770	202433	4337	male	elena	L72 Follicular cysts of skin and subcutaneous tissue	L72 Follicular cysts of skin and subcutaneous tissue (elena) [male]	NA	L72 Follicular cysts of skin and subcutaneous tissue (elena) NA	ef_clinical_c_L72 em_clinical_c_L72	em_clinical_c_L72 ef_clinical_c_L72	Disease	em_clinical_c_L72:ef_clinical_c_L72	ef_clinical_c_L72:em_clinical_c_L72
em_clinical_c_M06	clinical_c_M06	M06 Other rheumatoid arthritis (elena)	M06 Other rheumatoid arthritis	206770	205309	1461	male	elena	M06 Other rheumatoid arthritis	M06 Other rheumatoid arthritis (elena) [male]	NA	M06 Other rheumatoid arthritis (elena) NA	ef_clinical_c_M06 em_clinical_c_M06	em_clinical_c_M06 ef_clinical_c_M06	Disease	em_clinical_c_M06:ef_clinical_c_M06	ef_clinical_c_M06:em_clinical_c_M06
em_clinical_c_M13	clinical_c_M13	M13 Other arthritis (elena)	M13 Other arthritis	206770	201921	4849	male	elena	M13 Other arthritis	M13 Other arthritis (elena) [male]	NA	M13 Other arthritis (elena) NA	ef_clinical_c_M13 em_clinical_c_M13	em_clinical_c_M13 ef_clinical_c_M13	Disease	em_clinical_c_M13:ef_clinical_c_M13	ef_clinical_c_M13:em_clinical_c_M13
em_clinical_c_M15	clinical_c_M15	M15 Polyarthrosis (elena)	M15 Polyarthrosis	206770	205233	1537	male	elena	M15 Polyarthrosis	M15 Polyarthrosis (elena) [male]	NA	M15 Polyarthrosis (elena) NA	ef_clinical_c_M15 em_clinical_c_M15	em_clinical_c_M15 ef_clinical_c_M15	Disease	em_clinical_c_M15:ef_clinical_c_M15	ef_clinical_c_M15:em_clinical_c_M15
em_clinical_c_M16	clinical_c_M16	M16 Coxarthrosis [arthrosis of hip] (elena)	M16 Coxarthrosis [arthrosis of hip]	206770	201300	5470	male	elena	M16 Coxarthrosis [arthrosis of hip]	M16 Coxarthrosis [arthrosis of hip] (elena) [male]	NA	M16 Coxarthrosis [arthrosis of hip] (elena) NA	ef_clinical_c_M16 em_clinical_c_M16	em_clinical_c_M16 ef_clinical_c_M16	Disease	em_clinical_c_M16:ef_clinical_c_M16	ef_clinical_c_M16:em_clinical_c_M16
em_clinical_c_M17	clinical_c_M17	M17 Gonarthrosis [arthrosis of knee] (elena)	M17 Gonarthrosis [arthrosis of knee]	206770	195936	10834	male	elena	M17 Gonarthrosis [arthrosis of knee]	M17 Gonarthrosis [arthrosis of knee] (elena) [male]	NA	M17 Gonarthrosis [arthrosis of knee] (elena) NA	ef_clinical_c_M17 em_clinical_c_M17	em_clinical_c_M17 ef_clinical_c_M17	Disease	em_clinical_c_M17:ef_clinical_c_M17	ef_clinical_c_M17:em_clinical_c_M17
em_clinical_c_M19	clinical_c_M19	M19 Other arthrosis (elena)	M19 Other arthrosis	206770	199874	6896	male	elena	M19 Other arthrosis	M19 Other arthrosis (elena) [male]	NA	M19 Other arthrosis (elena) NA	ef_clinical_c_M19 em_clinical_c_M19	em_clinical_c_M19 ef_clinical_c_M19	Disease	em_clinical_c_M19:ef_clinical_c_M19	ef_clinical_c_M19:em_clinical_c_M19
em_clinical_c_M23	clinical_c_M23	M23 Internal derangement of knee (elena)	M23 Internal derangement of knee	206770	197414	9356	male	elena	M23 Internal derangement of knee	M23 Internal derangement of knee (elena) [male]	NA	M23 Internal derangement of knee (elena) NA	ef_clinical_c_M23 em_clinical_c_M23	em_clinical_c_M23 ef_clinical_c_M23	Disease	em_clinical_c_M23:ef_clinical_c_M23	ef_clinical_c_M23:em_clinical_c_M23
em_clinical_c_M47	clinical_c_M47	M47 Spondylosis (elena)	M47 Spondylosis	206770	203519	3251	male	elena	M47 Spondylosis	M47 Spondylosis (elena) [male]	NA	M47 Spondylosis (elena) NA	ef_clinical_c_M47 em_clinical_c_M47	em_clinical_c_M47 ef_clinical_c_M47	Disease	em_clinical_c_M47:ef_clinical_c_M47	ef_clinical_c_M47:em_clinical_c_M47
em_clinical_c_M48	clinical_c_M48	M48 Other spondylopathies (elena)	M48 Other spondylopathies	206770	204677	2093	male	elena	M48 Other spondylopathies	M48 Other spondylopathies (elena) [male]	NA	M48 Other spondylopathies (elena) NA	ef_clinical_c_M48 em_clinical_c_M48	em_clinical_c_M48 ef_clinical_c_M48	Disease	em_clinical_c_M48:ef_clinical_c_M48	ef_clinical_c_M48:em_clinical_c_M48
em_clinical_c_M54	clinical_c_M54	M54 Dorsalgia (elena)	M54 Dorsalgia	206770	200280	6490	male	elena	M54 Dorsalgia	M54 Dorsalgia (elena) [male]	NA	M54 Dorsalgia (elena) NA	ef_clinical_c_M54 em_clinical_c_M54	em_clinical_c_M54 ef_clinical_c_M54	Disease	em_clinical_c_M54:ef_clinical_c_M54	ef_clinical_c_M54:em_clinical_c_M54
em_clinical_c_M65	clinical_c_M65	M65 Synovitis and tenosynovitis (elena)	M65 Synovitis and tenosynovitis	206770	204445	2325	male	elena	M65 Synovitis and tenosynovitis	M65 Synovitis and tenosynovitis (elena) [male]	NA	M65 Synovitis and tenosynovitis (elena) NA	ef_clinical_c_M65 em_clinical_c_M65	em_clinical_c_M65 ef_clinical_c_M65	Disease	em_clinical_c_M65:ef_clinical_c_M65	ef_clinical_c_M65:em_clinical_c_M65
em_clinical_c_M72	clinical_c_M72	M72 Fibroblastic disorders (elena)	M72 Fibroblastic disorders	206770	203637	3133	male	elena	M72 Fibroblastic disorders	M72 Fibroblastic disorders (elena) [male]	NA	M72 Fibroblastic disorders (elena) NA	ef_clinical_c_M72 em_clinical_c_M72	em_clinical_c_M72 ef_clinical_c_M72	Disease	em_clinical_c_M72:ef_clinical_c_M72	ef_clinical_c_M72:em_clinical_c_M72
em_clinical_c_M75	clinical_c_M75	M75 Shoulder lesions (elena)	M75 Shoulder lesions	206770	202186	4584	male	elena	M75 Shoulder lesions	M75 Shoulder lesions (elena) [male]	NA	M75 Shoulder lesions (elena) NA	ef_clinical_c_M75 em_clinical_c_M75	em_clinical_c_M75 ef_clinical_c_M75	Disease	em_clinical_c_M75:ef_clinical_c_M75	ef_clinical_c_M75:em_clinical_c_M75
em_clinical_c_N18	clinical_c_N18	N18 Chronic renal failure (elena)	N18 Chronic renal failure	206770	204056	2714	male	elena	N18 Chronic renal failure	N18 Chronic renal failure (elena) [male]	NA	N18 Chronic renal failure (elena) NA	ef_clinical_c_N18 em_clinical_c_N18	em_clinical_c_N18 ef_clinical_c_N18	Disease	em_clinical_c_N18:ef_clinical_c_N18	ef_clinical_c_N18:em_clinical_c_N18
em_clinical_c_N20	clinical_c_N20	N20 Calculus of kidney and ureter (elena)	N20 Calculus of kidney and ureter	206770	203134	3636	male	elena	N20 Calculus of kidney and ureter	N20 Calculus of kidney and ureter (elena) [male]	NA	N20 Calculus of kidney and ureter (elena) NA	ef_clinical_c_N20 em_clinical_c_N20	em_clinical_c_N20 ef_clinical_c_N20	Disease	em_clinical_c_N20:ef_clinical_c_N20	ef_clinical_c_N20:em_clinical_c_N20
em_clinical_c_N35	clinical_c_N35	N35 Urethral stricture (elena)	N35 Urethral stricture	206770	204657	2113	male	elena	N35 Urethral stricture	N35 Urethral stricture (elena) [male]	NA	N35 Urethral stricture (elena) NA	ef_clinical_c_N35 em_clinical_c_N35	em_clinical_c_N35 ef_clinical_c_N35	Disease	em_clinical_c_N35:ef_clinical_c_N35	ef_clinical_c_N35:em_clinical_c_N35
em_clinical_c_N39	clinical_c_N39	N39 Other disorders of urinary system (elena)	N39 Other disorders of urinary system	206770	200171	6599	male	elena	N39 Other disorders of urinary system	N39 Other disorders of urinary system (elena) [male]	NA	N39 Other disorders of urinary system (elena) NA	ef_clinical_c_N39 em_clinical_c_N39	em_clinical_c_N39 ef_clinical_c_N39	Disease	em_clinical_c_N39:ef_clinical_c_N39	ef_clinical_c_N39:em_clinical_c_N39
l1f	l1	HDL (requested)	HDL	617211	NA	NA	female	requested	HDL	HDL (requested) [female]	36575460	HDL (requested) 36575460	l1f l1m	l1m l1f	Metabolic	l1m:l1f	l1f:l1m
l1m	l1	HDL (requested)	HDL	723018	NA	NA	male	requested	HDL	HDL (requested) [male]	36575460	HDL (requested) 36575460	l1f l1m	l1m l1f	Metabolic	l1m:l1f	l1f:l1m
l2f	l2	LDL (requested)	LDL	617211	NA	NA	female	requested	LDL	LDL (requested) [female]	36575460	LDL (requested) 36575460	l2f l2m	l2m l2f	Metabolic	l2m:l2f	l2f:l2m
l2m	l2	LDL (requested)	LDL	723018	NA	NA	male	requested	LDL	LDL (requested) [male]	36575460	LDL (requested) 36575460	l2f l2m	l2m l2f	Metabolic	l2m:l2f	l2f:l2m
l3f	l3	TC (requested)	TC	617211	NA	NA	female	requested	TC	TC (requested) [female]	36575460	TC (requested) 36575460	l3f l3m	l3m l3f	Metabolic	l3m:l3f	l3f:l3m
l3m	l3	TC (requested)	TC	723018	NA	NA	male	requested	TC	TC (requested) [male]	36575460	TC (requested) 36575460	l3f l3m	l3m l3f	Metabolic	l3m:l3f	l3f:l3m
l4f	l4	logTG (requested)	logTG	617211	NA	NA	female	requested	logTG	logTG (requested) [female]	36575460	logTG (requested) 36575460	l4f l4m	l4m l4f	Metabolic	l4m:l4f	l4f:l4m
l4m	l4	logTG (requested)	logTG	723018	NA	NA	male	requested	logTG	logTG (requested) [male]	36575460	logTG (requested) 36575460	l4f l4m	l4m l4f	Metabolic	l4m:l4f	l4f:l4m
l5f	l5	nonHDL (requested)	nonHDL	617211	NA	NA	female	requested	nonHDL	nonHDL (requested) [female]	36575460	nonHDL (requested) 36575460	l5f l5m	l5m l5f	Metabolic	l5m:l5f	l5f:l5m
l5m	l5	nonHDL (requested)	nonHDL	723018	NA	NA	male	requested	nonHDL	nonHDL (requested) [male]	36575460	nonHDL (requested) 36575460	l5f l5m	l5m l5f	Metabolic	l5m:l5f	l5f:l5m
r10f	r10	Major Depression (requested)	Major Depression	41937	19723	22214	female	requested	Major Depression	Major Depression (requested) [female]	31206164	Major Depression (requested) 31206164	r10f r10m	r10m r10f	Disease	r10m:r10f	r10f:r10m
r10m	r10	Major Depression (requested)	Major Depression	28993	18799	10194	male	requested	Major Depression	Major Depression (requested) [male]	31206164	Major Depression (requested) 31206164	r10f r10m	r10m r10f	Disease	r10m:r10f	r10f:r10m
r4f	r4	PTSD (requested)	PTSD	79846	NA	NA	female	requested	PTSD	PTSD (requested) [female]	31594949	PTSD (requested) 31594949	r4f r4m	r4m r4f	Disease	r4m:r4f	r4f:r4m
r4m	r4	PTSD (requested)	PTSD	87532	NA	NA	male	requested	PTSD	PTSD (requested) [male]	31594949	PTSD (requested) 31594949	r4f r4m	r4m r4f	Disease	r4m:r4f	r4f:r4m
r5f	r5	Schizophrenia (requested)	Schizophrenia	54663	36903	17760	female	requested	Schizophrenia	Schizophrenia (requested) [female]	35396580	Schizophrenia (requested) 35396580	r5f r5m	r5m r5f	Disease	r5m:r5f	r5f:r5m
r5m	r5	Schizophrenia (requested)	Schizophrenia	68287	35190	33097	male	requested	Schizophrenia	Schizophrenia (requested) [male]	35396580	Schizophrenia (requested) 35396580	r5f r5m	r5m r5f	Disease	r5m:r5f	r5f:r5m
r6f	r6	COVID19 Hospitalization (A1HOSP) (requested)	COVID19 Hospitalization (A1HOSP)	7556	5042	2514	female	requested	COVID19 Hospitalization (A1HOSP)	COVID19 Hospitalization (A1HOSP) (requested) [female]	37198478	COVID19 Hospitalization (A1HOSP) (requested) 37198478	r6f r6m	r6m r6f	Disease	r6m:r6f	r6f:r6m
r6m	r6	COVID19 Hospitalization (A1HOSP) (requested)	COVID19 Hospitalization (A1HOSP)	7186	3768	3418	male	requested	COVID19 Hospitalization (A1HOSP)	COVID19 Hospitalization (A1HOSP) (requested) [male]	37198478	COVID19 Hospitalization (A1HOSP) (requested) 37198478	r6f r6m	r6m r6f	Disease	r6m:r6f	r6f:r6m
r8f	r8	Risk-taking behaviour (requested)	Risk-taking behaviour	175963	143678	32285	female	requested	Risk-taking behaviour	Risk-taking behaviour (requested) [female]	30181555	Risk-taking behaviour (requested) 30181555	r8f r8m	r8m r8f	Behavioural	r8m:r8f	r8f:r8m
r8m	r8	Risk-taking behaviour (requested)	Risk-taking behaviour	152376	100984	51392	male	requested	Risk-taking behaviour	Risk-taking behaviour (requested) [male]	30181555	Risk-taking behaviour (requested) 30181555	r8f r8m	r8m r8f	Behavioural	r8m:r8f	r8f:r8m
r9f	r9	Carotid intima-media thickness (requested)	Carotid intima-media thickness	11471	NA	NA	female	requested	Carotid intima-media thickness	Carotid intima-media thickness (requested) [female]	31801372	Carotid intima-media thickness (requested) 31801372	r9f r9m	r9m r9f	Anatomical	r9m:r9f	r9f:r9m
r9m	r9	Carotid intima-media thickness (requested)	Carotid intima-media thickness	10708	NA	NA	male	requested	Carotid intima-media thickness	Carotid intima-media thickness (requested) [male]	31801372	Carotid intima-media thickness (requested) 31801372	r9f r9m	r9m r9f	Anatomical	r9m:r9f	r9f:r9m
