Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
a21f	ADr1uf	1.0066	0.0312	0.0131	0.1654	0.9369
a21f	bm1f	1.0075	0.0066	0.178	0.0978	0.0687
a21f	bm2f	0.9953	0.0068	0.2609	0.0795	0.001
a21f	bm4f	1.0058	0.0069	0.2141	0.1034	0.0384
a21f	bm5f	1.003	0.0075	-0.0107	0.0571	0.8514
a21f	bm6f	1.0085	0.0088	0.0191	0.0642	0.7655
a21f	bm7f	1.0082	0.0083	0.0079	0.061	0.8971
a21f	bm8f	1.0017	0.0069	-0.0085	0.0764	0.9119
a21f	ch1f	0.9979	0.0065	-0.2087	0.0864	0.0157
a21f	ch4f	0.9972	0.0064	-0.1258	0.1036	0.2248
a21f	ch5f	0.9936	0.0063	-0.1997	0.0995	0.0448
a21f	ch6f	1.0032	0.0063	-0.1617	0.106	0.1271
a21f	l1f	1.1127	0.0351	-0.064	0.033	0.0523
a21f	l2f	1.0765	0.0309	0.0359	0.0317	0.257
a21f	l3f	1.116	0.0322	0.0424	0.0302	0.1604
a21f	l4f	1.0858	0.0321	0.1531	0.0315	1.1583e-06
a21f	l5f	1.0927	0.0307	0.0717	0.0302	0.0176
a21f	r10f	0.969	0.0089	0.165	0.0753	0.0284
a21f	r4f	0.9994	0.0061	0.1975	0.0579	0.0006
a21f	r5f	1.0583	0.0098	-0.0086	0.0431	0.8417
a21f	r8f	0.999	0.0074	-0.0018	0.0516	0.9714
a21f	r9f	1.0093	0.0063	-0.012	0.0901	0.8939
a21m	a21f	0.9888	0.0075	0.8873	0.0668	2.6596e-40
a21m	a21m	1.0179	0.0069	1.0	1.7756e-06	0.0
a21m	a22m	1.0179	0.0078	0.1077	0.0648	0.0966
a21m	a27m	0.9461	0.0213	0.0334	0.0866	0.7001
a21m	a28m	0.9148	0.0154	0.0391	0.0997	0.6951
a21m	a29m	1.021	0.0086	0.1683	0.0601	0.0051
a21m	a30m	0.9492	0.0076	-0.0335	0.0505	0.5068
a21m	a7m	0.9582	0.0075	0.0028	0.0771	0.9706
a21m	a8m	1.0393	0.0144	0.1391	0.052	0.0075
a21m	a9m	1.0061	0.008	0.03	0.078	0.7001
a21m	ADr1um	0.9931	0.0269	-0.0688	0.2328	0.7675
a21m	bm1m	1.0071	0.0064	-0.0991	0.1308	0.4484
a21m	bm2m	1.0002	0.0078	-0.1617	0.1184	0.1723
a21m	bm4m	0.9952	0.0061	0.0882	0.148	0.5511
a21m	bm5m	1.0034	0.0071	-0.0175	0.0815	0.8302
a21m	bm6m	0.9987	0.0078	-0.0573	0.0779	0.4621
a21m	bm7m	1.0051	0.0073	-0.0649	0.0812	0.4238
a21m	bm8m	1.0099	0.0063	-0.0115	0.127	0.9278
a21m	ch1m	1.0001	0.0067	-0.0723	0.1258	0.5657
a21m	ch4m	0.997	0.0061	0.053	0.1225	0.6651
a21m	ch5m	1.0052	0.0062	-0.2337	0.1726	0.1756
a21m	ch6m	0.9891	0.0061	-0.0578	0.1305	0.6577
a21m	l1m	1.0856	0.0361	-0.0552	0.0397	0.1651
a21m	l2m	1.064	0.0291	-0.0029	0.044	0.9473
a21m	l3m	1.1048	0.032	0.023	0.0431	0.5941
a21m	l4m	1.0516	0.0342	0.1095	0.0373	0.0033
a21m	l5m	1.0771	0.0248	0.0445	0.0477	0.3499
a21m	r10m	1.0001	0.0084	0.0613	0.146	0.6745
a21m	r4m	1.0186	0.0066	0.1534	0.0974	0.1154
a21m	r5m	1.0077	0.0116	-0.011	0.0486	0.8214
a21m	r8m	1.0045	0.0073	0.0031	0.0606	0.9592
a21m	r9m	0.9945	0.0063	0.1253	0.1011	0.2153
a22f	a22f	1.0204	0.0079	1.0	8.5542e-07	0.0
a22f	a27f	0.9601	0.026	0.1845	0.0595	0.0019
a22f	a28f	1.0033	0.0095	0.3382	0.0783	1.5788e-05
a22f	a29f	1.0146	0.0079	0.2255	0.0281	1.0799e-15
a22f	a30f	0.9507	0.0085	-0.2223	0.0299	1.1497e-13
a22f	a7f	0.955	0.0075	-0.0955	0.0529	0.0707
a22f	a8f	1.0445	0.0119	0.298	0.0296	8.2408e-24
a22f	a9f	1.0584	0.0087	0.1805	0.0632	0.0043
a22f	ADr1uf	1.0062	0.0309	-0.1492	0.1469	0.3099
a22f	bm1f	1.0066	0.0067	-0.1641	0.0864	0.0575
a22f	bm2f	0.9951	0.0068	0.0207	0.0639	0.7458
a22f	bm4f	1.0061	0.0069	0.168	0.0814	0.039
a22f	bm5f	1.0051	0.0076	-0.0044	0.0447	0.9221
a22f	bm6f	1.0089	0.0086	0.0325	0.0475	0.494
a22f	bm7f	1.0084	0.0082	0.0309	0.0463	0.504
a22f	bm8f	1.0017	0.0068	-0.0315	0.0505	0.5327
a22f	ch1f	0.9982	0.0067	-0.2042	0.0708	0.0039
a22f	ch4f	0.9972	0.0065	-0.1097	0.0832	0.1872
a22f	ch5f	0.994	0.0063	-0.1103	0.0804	0.1699
a22f	ch6f	1.0029	0.0064	-0.3182	0.0831	0.0001
a22f	l1f	1.1107	0.0348	-0.2534	0.0226	3.7768e-29
a22f	l2f	1.0746	0.0306	0.1061	0.0258	3.8469e-05
a22f	l3f	1.1136	0.0318	0.034	0.0245	0.1655
a22f	l4f	1.0841	0.0317	0.2342	0.0254	3.3848e-20
a22f	l5f	1.0909	0.0305	0.1367	0.0258	1.2237e-07
a22f	r10f	0.9686	0.0088	0.124	0.0561	0.027
a22f	r4f	0.9991	0.006	0.1089	0.0462	0.0183
a22f	r5f	1.0585	0.0097	-0.0598	0.032	0.0616
a22f	r8f	0.9992	0.0073	0.042	0.0409	0.3048
a22f	r9f	1.0096	0.0063	0.0525	0.0605	0.3857
a22m	a22f	1.0204	0.0079	0.9181	0.0349	6.2653e-153
a22m	a22m	1.0164	0.0079	1.0	1.7340e-06	0.0
a22m	a27m	0.938	0.0211	0.0214	0.0604	0.7236
a22m	a28m	0.9052	0.0165	0.1924	0.0776	0.0131
a22m	a29m	1.0207	0.0087	0.2266	0.0395	1.0073e-08
a22m	a30m	0.9478	0.0076	-0.1327	0.034	9.6209e-05
a22m	a7m	0.9582	0.0075	-0.0497	0.0509	0.3289
a22m	a8m	1.0376	0.0144	0.2443	0.0337	4.4034e-13
a22m	a9m	1.0064	0.0081	0.1626	0.0536	0.0024
a22m	ADr1um	0.9924	0.0266	-0.0516	0.1572	0.7428
a22m	bm1m	1.0083	0.0063	0.0037	0.0773	0.9619
a22m	bm2m	1.0006	0.0076	0.0762	0.0865	0.3782
a22m	bm4m	0.9947	0.0062	0.2413	0.0873	0.0057
a22m	bm5m	1.003	0.0072	0.0908	0.0611	0.1375
a22m	bm6m	0.9995	0.0076	0.0873	0.0584	0.1352
a22m	bm7m	1.006	0.0071	0.0777	0.0605	0.1988
a22m	bm8m	1.0101	0.0064	0.0205	0.089	0.8179
a22m	ch1m	0.9997	0.0066	-0.0926	0.0919	0.3138
a22m	ch4m	0.9968	0.0061	0.0763	0.0779	0.3274
a22m	ch5m	1.0055	0.0062	0.0524	0.1123	0.6405
a22m	ch6m	0.9893	0.0061	-0.1644	0.084	0.0505
a22m	l1m	1.0835	0.0357	-0.1587	0.0262	1.3417e-09
a22m	l2m	1.065	0.029	0.0682	0.031	0.0281
a22m	l3m	1.1048	0.0316	0.0723	0.0297	0.0151
a22m	l4m	1.0509	0.0339	0.1814	0.026	3.2718e-12
a22m	l5m	1.077	0.0246	0.1466	0.0322	5.4364e-06
a22m	r10m	1.0002	0.0086	0.0187	0.1056	0.8594
a22m	r4m	1.0184	0.0064	0.2019	0.0724	0.0053
a22m	r5m	1.0067	0.0114	-0.2016	0.0312	1.0142e-10
a22m	r8m	1.0045	0.0073	-0.0149	0.037	0.6874
a22m	r9m	0.9936	0.0063	0.0029	0.0728	0.9681
a27f	a27f	0.9434	0.0251	1.0015	0.0007	0.0
a27f	a28f	0.9626	0.0176	0.3151	0.0885	0.0004
a27f	a29f	1.0259	0.0179	-0.0362	0.0631	0.5654
a27f	a30f	0.9439	0.0226	-0.0821	0.0594	0.1665
a27f	a7f	0.9217	0.0192	0.1041	0.0728	0.1526
a27f	a8f	1.1341	0.0573	0.547	0.0479	3.6109e-30
a27f	a9f	1.0851	0.0164	0.3793	0.1948	0.0515
a27f	ADr1uf	1.1787	0.2018	NA	NA	NA
a27f	bm1f	1.0048	0.0164	0.2967	0.131	0.0236
a27f	bm2f	0.9745	0.0171	0.0224	0.085	0.7918
a27f	bm4f	0.9996	0.0149	0.268	0.1437	0.0623
a27f	bm5f	0.9975	0.0199	0.0809	0.0671	0.2281
a27f	bm6f	0.9856	0.0192	0.022	0.0616	0.7214
a27f	bm7f	0.9821	0.0185	-0.0269	0.0628	0.6689
a27f	bm8f	0.9937	0.0155	-0.0419	0.1012	0.6787
a27f	ch1f	0.9855	0.0151	0.0121	0.0974	0.9013
a27f	ch4f	0.9861	0.0139	0.1169	0.1533	0.4456
a27f	ch5f	0.9958	0.0152	0.1739	0.1382	0.208
a27f	ch6f	1.0093	0.0177	-0.0807	0.1369	0.5554
a27f	l1f	1.4196	0.1136	-0.1693	0.0496	0.0006
a27f	l2f	1.419	0.1405	0.009	0.0593	0.8794
a27f	l3f	1.5081	0.1343	-0.0419	0.0591	0.4776
a27f	l4f	1.4238	0.1219	0.2351	0.0504	3.0648e-06
a27f	l5f	1.4036	0.126	0.0422	0.0619	0.4946
a27f	r10f	0.9834	0.0219	-0.0725	0.1158	0.5309
a27f	r4f	0.9933	0.0139	-0.1076	0.0825	0.1923
a27f	r5f	1.0608	0.0255	0.0048	0.069	0.9445
a27f	r8f	0.9845	0.0175	-0.0992	0.0747	0.1841
a27f	r9f	1.0103	0.0164	-0.013	0.0845	0.878
a27m	a27f	0.9546	0.0258	0.7994	0.0571	1.3754e-44
a27m	a27m	0.9223	0.0216	1.0049	0.0013	0.0
a27m	a28m	0.9019	0.0154	0.1514	0.0863	0.0795
a27m	a29m	1.0275	0.0204	-5.7777e-05	0.0669	0.9993
a27m	a30m	0.9522	0.0206	-0.114	0.0539	0.0342
a27m	a7m	0.9757	0.0175	0.0804	0.0856	0.3474
a27m	a8m	1.1374	0.072	0.5527	0.0527	1.0538e-25
a27m	a9m	1.0178	0.0192	0.109	0.0814	0.1806
a27m	ADr1um	1.0806	0.123	NA	NA	NA
a27m	bm1m	1.0202	0.0144	0.0725	0.143	0.6118
a27m	bm2m	1.0109	0.0168	0.1931	0.1459	0.1856
a27m	bm4m	0.9898	0.0143	-0.1075	0.1794	0.5489
a27m	bm5m	0.9808	0.0181	0.0133	0.0751	0.8597
a27m	bm6m	0.9946	0.0181	-0.0163	0.0759	0.8304
a27m	bm7m	1.0059	0.0187	-0.0364	0.0808	0.6525
a27m	bm8m	0.9958	0.0159	0.0247	0.0971	0.7994
a27m	ch1m	0.9726	0.0146	0.059	0.1268	0.6417
a27m	ch4m	0.998	0.0151	-0.148	0.1457	0.3097
a27m	ch5m	0.9911	0.0151	0.1998	0.1318	0.1296
a27m	ch6m	0.9565	0.0159	0.1019	0.1301	0.4335
a27m	l1m	1.3352	0.1114	-0.0647	0.0466	0.1646
a27m	l2m	1.2752	0.1083	-0.169	0.0561	0.0026
a27m	l3m	1.4913	0.1297	-0.1068	0.048	0.0262
a27m	l4m	1.3642	0.136	0.1421	0.0608	0.0195
a27m	l5m	1.3653	0.1072	-0.0661	0.0599	0.2696
a27m	r10m	1.0287	0.0207	-0.0774	0.2596	0.7657
a27m	r4m	1.0448	0.0143	-0.1906	0.1092	0.0809
a27m	r5m	0.9527	0.0262	-0.0176	0.0528	0.7385
a27m	r8m	1.0181	0.0175	-0.0493	0.0693	0.4766
a27m	r9m	1.0071	0.0168	0.0735	0.1016	0.4696
a28f	a28f	1.0013	0.0094	1.0	1.6079e-05	0.0
a28f	a29f	1.0166	0.0121	0.2146	0.0708	0.0024
a28f	a30f	0.9537	0.0149	-0.319	0.0638	5.6621e-07
a28f	a7f	0.948	0.0121	-0.1095	0.1087	0.3135
a28f	a8f	1.0724	0.0216	0.5805	0.0847	7.0973e-12
a28f	a9f	1.0459	0.0113	0.2143	0.1281	0.0943
a28f	ADr1uf			NA	NA	NA
a28f	bm1f	1.0118	0.0104	-0.085	0.1977	0.6673
a28f	bm2f	0.9917	0.0098	-0.0421	0.1296	0.7456
a28f	bm4f	1.013	0.0099	0.1339	0.1818	0.4616
a28f	bm5f	1.0039	0.0124	-0.0082	0.0971	0.933
a28f	bm6f	0.9927	0.0121	-0.0706	0.1008	0.4837
a28f	bm7f	0.9883	0.0114	-0.0581	0.0963	0.546
a28f	bm8f	0.9998	0.0102	0.2314	0.1221	0.0582
a28f	ch1f	0.9982	0.0095	0.1683	0.1586	0.2888
a28f	ch4f	1.0032	0.0097	0.0104	0.2163	0.9618
a28f	ch5f	1.0026	0.0095	0.1881	0.1918	0.3267
a28f	ch6f	1.005	0.0095	-0.0297	0.1982	0.881
a28f	l1f	1.2461	0.0578	-0.4681	0.0655	8.7133e-13
a28f	l2f	1.1712	0.0518	0.1671	0.0661	0.0115
a28f	l3f	1.219	0.0548	0.0918	0.0634	0.1475
a28f	l4f	1.2254	0.056	0.5694	0.0705	6.8875e-16
a28f	l5f	1.1914	0.0496	0.3008	0.0698	1.6478e-05
a28f	r10f	0.9782	0.0113	-0.0442	0.1383	0.7491
a28f	r4f	0.9925	0.0087	0.0779	0.1015	0.4429
a28f	r5f	1.0416	0.0132	-0.0705	0.0734	0.3365
a28f	r8f	0.995	0.0111	-0.0788	0.0803	0.3268
a28f	r9f	1.0179	0.0093	0.1175	0.1309	0.3694
a28m	a28f	0.9536	0.0175	0.6466	0.0786	1.8717e-16
a28m	a28m	0.8894	0.0154	1.0017	0.0005	0.0
a28m	a29m	1.0245	0.0191	0.1088	0.0682	0.1105
a28m	a30m	0.9533	0.0203	-0.2046	0.0648	0.0016
a28m	a7m	0.9759	0.0175	-0.0372	0.0935	0.6908
a28m	a8m	1.1225	0.0691	0.4075	0.0673	1.4386e-09
a28m	a9m	1.0179	0.0194	0.0125	0.1016	0.9019
a28m	ADr1um	1.0786	0.1191	NA	NA	NA
a28m	bm1m	1.0167	0.0144	-0.2079	0.1423	0.1439
a28m	bm2m	1.0073	0.0162	-0.0278	0.12	0.8168
a28m	bm4m	0.9846	0.0143	-0.2354	0.1242	0.0582
a28m	bm5m	0.9767	0.0178	-0.016	0.0914	0.8606
a28m	bm6m	0.9944	0.0177	-0.1031	0.0886	0.2445
a28m	bm7m	1.0062	0.0183	-0.1129	0.0876	0.1977
a28m	bm8m	1.0009	0.0166	0.1335	0.1103	0.2261
a28m	ch1m	0.9735	0.0144	0.1121	0.1401	0.4238
a28m	ch4m	1.0008	0.0149	-0.241	0.1689	0.1537
a28m	ch5m	0.992	0.0149	-0.0067	0.1685	0.9684
a28m	ch6m	0.9554	0.0152	0.0466	0.1337	0.7277
a28m	l1m	1.3125	0.1103	-0.4872	0.0525	1.7352e-20
a28m	l2m	1.2444	0.1004	-0.1308	0.0574	0.0227
a28m	l3m	1.446	0.1237	-0.1319	0.0548	0.0161
a28m	l4m	1.3387	0.1342	0.4291	0.0603	1.1485e-12
a28m	l5m	1.3426	0.0979	0.0542	0.0663	0.414
a28m	r10m	1.0323	0.0206	-0.1831	0.3463	0.597
a28m	r4m	1.0517	0.0145	0.256	0.1496	0.087
a28m	r5m	0.9555	0.0268	-0.032	0.0543	0.5557
a28m	r8m	1.0203	0.0171	-0.0137	0.0937	0.8841
a28m	r9m	1.0038	0.0163	0.1712	0.1226	0.1627
a29f	a29f	1.0146	0.0078	1.0	2.5595e-08	0.0
a29f	a30f	0.9503	0.0088	-0.4193	0.0247	8.1898e-65
a29f	a7f	0.9561	0.0076	-0.0529	0.0475	0.2655
a29f	a8f	1.0475	0.012	0.2697	0.0296	8.7897e-20
a29f	a9f	1.0584	0.0087	0.6765	0.077	1.6119e-18
a29f	ADr1uf	1.0064	0.031	-0.3948	0.2668	0.1389
a29f	bm1f	1.0063	0.0068	-0.1697	0.084	0.0434
a29f	bm2f	0.9951	0.0068	0.1217	0.0575	0.0344
a29f	bm4f	1.0062	0.0069	-0.0056	0.0709	0.9371
a29f	bm5f	1.0047	0.0077	0.0698	0.0466	0.1335
a29f	bm6f	1.0093	0.0086	0.0787	0.0493	0.1103
a29f	bm7f	1.0089	0.0082	0.0866	0.0461	0.0604
a29f	bm8f	1.0017	0.0069	0.1056	0.0504	0.0363
a29f	ch1f	0.9979	0.0067	-0.275	0.0643	1.8941e-05
a29f	ch4f	0.9971	0.0065	-0.2132	0.0968	0.0277
a29f	ch5f	0.9946	0.0064	-0.2603	0.0797	0.0011
a29f	ch6f	1.0025	0.0064	-0.3819	0.0828	3.9989e-06
a29f	l1f	1.1114	0.036	-0.3121	0.0194	4.9992e-58
a29f	l2f	1.0742	0.03	0.1518	0.0246	6.9526e-10
a29f	l3f	1.1139	0.032	0.0983	0.0231	2.0369e-05
a29f	l4f	1.0849	0.0317	0.3331	0.0203	9.4852e-61
a29f	l5f	1.0899	0.0298	0.2065	0.0246	5.1251e-17
a29f	r10f	0.9686	0.0088	0.4913	0.0583	3.6236e-17
a29f	r4f	0.9998	0.0062	0.5608	0.0425	1.0609e-39
a29f	r5f	1.0577	0.0097	0.0848	0.0351	0.0157
a29f	r8f	0.9988	0.0073	0.1618	0.0376	1.6625e-05
a29f	r9f	1.0093	0.0063	-0.0334	0.0562	0.5523
a29m	a29f	1.0146	0.0078	0.9162	0.0299	1.0957e-205
a29m	a29m	1.0208	0.0087	1.0	3.7120e-07	0.0
a29m	a30m	0.9489	0.0078	-0.5398	0.029	2.6291e-77
a29m	a7m	0.9578	0.0076	-0.0934	0.0487	0.0553
a29m	a8m	1.0415	0.0146	0.2938	0.0341	6.3317e-18
a29m	a9m	1.0066	0.0081	0.5819	0.0479	5.0358e-34
a29m	ADr1um	0.9926	0.0267	-0.2705	0.1889	0.1522
a29m	bm1m	1.0078	0.0064	0.0407	0.0833	0.6248
a29m	bm2m	1.0004	0.0077	0.0603	0.0806	0.454
a29m	bm4m	0.9952	0.0064	0.0783	0.1048	0.4553
a29m	bm5m	1.0043	0.0071	-0.0863	0.0542	0.1111
a29m	bm6m	0.9995	0.0078	0.008	0.0596	0.8933
a29m	bm7m	1.0062	0.0072	0.0229	0.0587	0.6963
a29m	bm8m	1.0092	0.0064	0.0985	0.0808	0.2231
a29m	ch1m	0.9978	0.0067	-0.243	0.0875	0.0055
a29m	ch4m	0.9962	0.0061	-0.1651	0.0886	0.0624
a29m	ch5m	1.0042	0.0062	-0.4842	0.1209	6.1877e-05
a29m	ch6m	0.9898	0.0062	-0.3428	0.0897	0.0001
a29m	l1m	1.0893	0.0369	-0.2926	0.0241	5.6704e-34
a29m	l2m	1.0669	0.0298	0.1002	0.0303	0.0009
a29m	l3m	1.1102	0.0322	0.1175	0.0273	1.6614e-05
a29m	l4m	1.0537	0.0345	0.3159	0.033	1.0989e-21
a29m	l5m	1.0789	0.0248	0.1635	0.0337	1.1876e-06
a29m	r10m	0.9996	0.0084	0.6351	0.1293	9.0067e-07
a29m	r4m	1.0175	0.0065	0.5359	0.0638	4.6796e-17
a29m	r5m	1.0062	0.0116	0.0683	0.0322	0.0338
a29m	r8m	1.0053	0.0074	0.2851	0.0446	1.6963e-10
a29m	r9m	0.9935	0.0063	0.041	0.0773	0.5954
a30f	a30f	0.9508	0.0085	1.0	1.4752e-07	0.0
a30f	a7f	0.9541	0.0077	0.0659	0.044	0.1347
a30f	a8f	1.0479	0.0125	-0.2831	0.0284	2.2680e-23
a30f	a9f	1.0573	0.0087	-0.592	0.0763	8.7012e-15
a30f	ADr1uf	1.0091	0.0314	0.336	0.2667	0.2077
a30f	bm1f	1.0058	0.0068	0.0723	0.0711	0.3095
a30f	bm2f	0.9946	0.0069	-0.0081	0.0524	0.8771
a30f	bm4f	1.0066	0.0069	0.0015	0.0727	0.9836
a30f	bm5f	1.0051	0.0077	-0.0485	0.0431	0.2602
a30f	bm6f	1.01	0.009	-0.087	0.0465	0.0617
a30f	bm7f	1.0089	0.0086	-0.09	0.0437	0.0391
a30f	bm8f	0.9993	0.0068	-0.0047	0.0488	0.9238
a30f	ch1f	0.9987	0.0067	0.5051	0.0711	1.1752e-12
a30f	ch4f	0.9965	0.0064	0.5986	0.1157	2.2769e-07
a30f	ch5f	0.9938	0.0064	0.4936	0.0832	2.9963e-09
a30f	ch6f	1.0029	0.0064	0.6766	0.0987	7.2849e-12
a30f	l1f	1.1137	0.0359	0.2927	0.0194	1.1709e-51
a30f	l2f	1.079	0.0308	-0.1516	0.02	3.1647e-14
a30f	l3f	1.1175	0.0326	-0.1053	0.019	2.7609e-08
a30f	l4f	1.0911	0.0327	-0.3438	0.0229	5.2149e-51
a30f	l5f	1.0946	0.0307	-0.2178	0.0209	2.2456e-25
a30f	r10f	0.9686	0.0088	-0.2816	0.0539	1.7474e-07
a30f	r4f	0.9988	0.0063	-0.1448	0.0434	0.0008
a30f	r5f	1.0575	0.0098	0.0985	0.0312	0.0016
a30f	r8f	0.9976	0.0074	0.187	0.0335	2.4349e-08
a30f	r9f	1.0112	0.0064	0.0463	0.0498	0.3529
a30m	a30f	0.951	0.0085	0.9175	0.0226	0.0
a30m	a30m	0.9478	0.0075	1.0	1.0223e-06	0.0
a30m	a7m	0.9589	0.0076	0.1312	0.0395	0.0009
a30m	a8m	1.0392	0.0148	-0.2658	0.0268	3.0908e-23
a30m	a9m	1.0066	0.0082	-0.5467	0.0436	4.2525e-36
a30m	ADr1um	0.9921	0.0267	0.3898	0.2281	0.0874
a30m	bm1m	1.0067	0.0065	0.008	0.0615	0.8968
a30m	bm2m	1.0002	0.0077	-0.0342	0.0608	0.5741
a30m	bm4m	0.9962	0.0064	-0.0673	0.0734	0.3596
a30m	bm5m	1.0036	0.0073	0.0702	0.0386	0.0688
a30m	bm6m	0.9984	0.008	-0.0267	0.0453	0.5556
a30m	bm7m	1.0057	0.0074	-0.0518	0.0476	0.277
a30m	bm8m	1.0111	0.0062	-0.1265	0.0733	0.0842
a30m	ch1m	0.9983	0.0066	0.523	0.0867	1.6414e-09
a30m	ch4m	0.9972	0.006	0.6028	0.0925	7.2626e-11
a30m	ch5m	1.0049	0.0063	0.7646	0.1436	1.0060e-07
a30m	ch6m	0.9893	0.0061	0.6154	0.0818	5.4843e-14
a30m	l1m	1.0843	0.036	0.2603	0.0216	2.6719e-33
a30m	l2m	1.0638	0.029	-0.0813	0.0237	0.0006
a30m	l3m	1.1061	0.0316	-0.0825	0.0243	0.0007
a30m	l4m	1.0582	0.0348	-0.2776	0.0229	8.5038e-34
a30m	l5m	1.0769	0.0248	-0.1537	0.0279	3.5634e-08
a30m	r10m	1.0004	0.0085	-0.1545	0.0859	0.0719
a30m	r4m	1.0197	0.0067	-0.1642	0.0535	0.0021
a30m	r5m	1.0076	0.0115	-0.0071	0.0286	0.8035
a30m	r8m	1.0059	0.0074	-0.1432	0.0341	2.6946e-05
a30m	r9m	0.9935	0.0062	-0.1121	0.0668	0.0933
a7f	a7f	0.9548	0.0075	1.0	5.3934e-06	0.0
a7f	a8f	1.0444	0.0127	-0.0863	0.0586	0.1409
a7f	a9f	1.058	0.0087	-0.2307	0.1274	0.0702
a7f	ADr1uf	1.0073	0.0326	0.1079	0.2794	0.6993
a7f	bm1f	1.007	0.0068	0.2031	0.1343	0.1305
a7f	bm2f	0.9958	0.0069	0.0895	0.1083	0.4088
a7f	bm4f	1.0069	0.0069	0.0057	0.1281	0.9643
a7f	bm5f	1.0042	0.0076	0.1417	0.0633	0.0252
a7f	bm6f	1.0099	0.0089	0.0369	0.0743	0.6194
a7f	bm7f	1.0097	0.0085	-0.0451	0.0777	0.5616
a7f	bm8f	1.0025	0.0069	0.0076	0.089	0.9318
a7f	ch1f	0.9987	0.0066	0.0626	0.1064	0.5562
a7f	ch4f	0.9966	0.0066	0.0854	0.1514	0.5724
a7f	ch5f	0.9924	0.0064	-0.2342	0.1348	0.0823
a7f	ch6f	1.0032	0.0066	0.1265	0.1243	0.3085
a7f	l1f	1.1211	0.0368	0.0772	0.0381	0.0429
a7f	l2f	1.0853	0.032	-0.0814	0.0433	0.0604
a7f	l3f	1.1273	0.0339	-0.079	0.039	0.0428
a7f	l4f	1.0942	0.0333	-0.1275	0.0437	0.0035
a7f	l5f	1.1021	0.0316	-0.1209	0.0397	0.0023
a7f	r10f	0.9694	0.0088	0.0624	0.0827	0.4503
a7f	r4f	1.0016	0.0065	-0.1013	0.073	0.1656
a7f	r5f	1.0566	0.0101	-0.0539	0.0535	0.3134
a7f	r8f	1.0002	0.0076	0.0294	0.0658	0.6546
a7f	r9f	1.0106	0.0063	-0.0691	0.1088	0.5255
a7m	a7f	0.9552	0.0075	0.8698	0.0739	5.4322e-32
a7m	a7m	0.9581	0.0075	1.0	5.5631e-06	0.0
a7m	a8m	1.0454	0.0155	-0.0112	0.041	0.7843
a7m	a9m	1.0086	0.0083	-0.0801	0.0559	0.1515
a7m	ADr1um	0.9944	0.0284	0.4439	0.3485	0.2027
a7m	bm1m	1.01	0.0067	-0.0911	0.1029	0.3763
a7m	bm2m	1.0009	0.008	-0.0122	0.1026	0.9057
a7m	bm4m	0.9962	0.0063	-0.2295	0.1117	0.0399
a7m	bm5m	1.0058	0.0075	0.172	0.0668	0.01
a7m	bm6m	0.9987	0.008	0.1274	0.0627	0.0423
a7m	bm7m	1.0053	0.0075	0.0962	0.0675	0.154
a7m	bm8m	1.0123	0.0065	-0.14	0.107	0.1907
a7m	ch1m	0.9965	0.0069	0.1165	0.1099	0.2891
a7m	ch4m	0.9976	0.0063	0.2037	0.106	0.0545
a7m	ch5m	1.0051	0.0063	0.1474	0.1382	0.2863
a7m	ch6m	0.9904	0.0065	0.2015	0.1106	0.0685
a7m	l1m	1.0983	0.0382	0.0056	0.033	0.8642
a7m	l2m	1.0771	0.0314	-0.0552	0.0405	0.1735
a7m	l3m	1.1229	0.0337	-0.0672	0.0365	0.0653
a7m	l4m	1.0682	0.0362	-0.0647	0.0361	0.0726
a7m	l5m	1.0841	0.0259	-0.0729	0.0409	0.0749
a7m	r10m	1.0004	0.0086	0.3987	0.1328	0.0027
a7m	r4m	1.0171	0.0066	-0.0056	0.078	0.9427
a7m	r5m	1.0091	0.0116	0.0864	0.0393	0.028
a7m	r8m	1.0065	0.0076	0.0126	0.0542	0.8159
a7m	r9m	0.9967	0.0064	-0.0793	0.1001	0.4283
a8f	a8f	1.0459	0.0118	1.0	4.3399e-07	0.0
a8f	a9f	1.0584	0.0087	0.2086	0.0633	0.001
a8f	ADr1uf	1.006	0.0307	-0.2861	0.1914	0.1351
a8f	bm1f	1.0065	0.0067	-0.0397	0.0765	0.604
a8f	bm2f	0.9951	0.0068	-0.0895	0.0636	0.1599
a8f	bm4f	1.0063	0.0069	-0.0177	0.0746	0.8125
a8f	bm5f	1.0051	0.0076	0.0076	0.0421	0.8569
a8f	bm6f	1.0083	0.0086	-0.0144	0.0436	0.7412
a8f	bm7f	1.008	0.0082	0.0089	0.0434	0.8379
a8f	bm8f	1.0018	0.0068	0.0034	0.0442	0.9383
a8f	ch1f	0.9982	0.0067	-0.2027	0.0679	0.0029
a8f	ch4f	0.9971	0.0065	-0.1041	0.0916	0.256
a8f	ch5f	0.9941	0.0063	-0.129	0.0746	0.0838
a8f	ch6f	1.0029	0.0064	-0.2285	0.0776	0.0032
a8f	l1f	1.1104	0.0346	-0.5507	0.0229	6.5750e-128
a8f	l2f	1.0736	0.0303	0.1879	0.0262	7.9160e-13
a8f	l3f	1.1127	0.0316	0.0941	0.0258	0.0003
a8f	l4f	1.0841	0.0314	0.6097	0.0272	6.5445e-111
a8f	l5f	1.09	0.0302	0.309	0.0276	3.4492e-29
