CODE NOM_NUM_PLEIO_SUBSETS NOM_NUM_PLEIO_SUBSETS_EMP_P NOM_VERBOSE MARG_NUM_PLEIO_SUBSETS MARG_NUM_PLEIO_SUBSETS_EMP_P MARG_VERBOSE SMALLEST_PLEIO_P_EMP_P
137f:ch1f 15 0.000999 MORE 22 0.000999 MORE 0.00599
137f:ch4f 0 1 NOT 2 0.232 NOT 0.337
137f:ch5f 0 1 NOT 1 0.369 NOT 0.274
137f:ch6f 3 0.044 MORE 5 0.0589 NOT 0.0599
137f:l1f 53 0.000999 MORE 59 0.000999 MORE 0.000999
137f:l2f 33 0.000999 MORE 38 0.000999 MORE 0.000999
137f:l3f 33 0.000999 MORE 40 0.000999 MORE 0.000999
137f:l4f 58 0.000999 MORE 64 0.000999 MORE 0.000999
137f:l5f 35 0.000999 MORE 44 0.000999 MORE 0.000999
137f:r10f 3 0.0549 NOT 8 0.024 MORE 0.131
137f:r4f 26 0.000999 MORE 32 0.000999 MORE 0.002
137f:r5f 22 0.000999 MORE 27 0.000999 MORE 0.000999
137f:r8f 2 0.0739 NOT 3 0.101 NOT 0.0939
137f:r9f 6 0.005 MORE 9 0.011 MORE 0.0729
144m:151m 39 0.000999 MORE 45 0.000999 MORE 0.000999
144m:152m 26 0.000999 MORE 31 0.000999 MORE 0.002
144m:157m 109 0.000999 MORE 109 0.000999 MORE 0.000999
144m:163m 33 0.000999 MORE 39 0.000999 MORE 0.000999
144m:169m 112 0.000999 MORE 115 0.000999 MORE 0.000999
144m:175m 43 0.000999 MORE 49 0.000999 MORE 0.000999
144m:181m 99 0.000999 MORE 104 0.000999 MORE 0.000999
144m:187m 31 0.000999 MORE 41 0.000999 MORE 0.000999
144m:4370m 3 0.043 MORE 5 0.0559 NOT 0.00599
144m:4373m 21 0.000999 MORE 22 0.000999 MORE 0.000999
144m:49m 2 0.0719 NOT 3 0.12 NOT 0.002
144m:52m 15 0.002 MORE 19 0.002 MORE 0.002
144m:97m 19 0.000999 MORE 26 0.000999 MORE 0.00899
144m:a13m 41 0.000999 MORE 51 0.000999 MORE 0.000999
144m:a1m 9 0.000999 MORE 13 0.00599 MORE 0.000999
144m:a21m 8 0.005 MORE 13 0.00599 MORE 0.002
144m:a22m 24 0.000999 MORE 28 0.000999 MORE 0.000999
144m:a27m 42 0.000999 MORE 47 0.000999 MORE 0.000999
144m:a28m 70 0.000999 MORE 75 0.000999 MORE 0.000999
144m:a29m 14 0.000999 MORE 20 0.000999 MORE 0.000999
